GPS time,X,Y,Z,Lat,Lon
2223:048796.800,2938712.992,2229643.420,5186003.390,54.75725840,37.18810873
2223:048797.000,2938712.993,2229643.419,5186003.391,54.75725841,37.18810872
2223:048797.200,2938712.992,2229643.420,5186003.391,54.75725842,37.18810871
2223:048797.400,2938712.991,2229643.418,5186003.390,54.75725842,37.18810872
2223:048797.600,2938712.991,2229643.418,5186003.390,54.75725843,37.18810871
2223:048797.800,2938712.991,2229643.419,5186003.390,54.75725842,37.18810871
2223:048798.000,2938712.992,2229643.419,5186003.390,54.75725842,37.18810871
2223:048798.200,2938712.990,2229643.418,5186003.388,54.75725842,37.18810872
2223:048798.400,2938712.990,2229643.417,5186003.386,54.75725842,37.18810872
2223:048798.600,2938712.990,2229643.416,5186003.386,54.75725842,37.18810871
2223:048798.800,2938712.991,2229643.418,5186003.384,54.75725842,37.18810870
2223:048799.000,2938712.990,2229643.418,5186003.384,54.75725840,37.18810871
2223:048799.200,2938712.990,2229643.417,5186003.383,54.75725840,37.18810871
2223:048799.400,2938712.989,2229643.418,5186003.383,54.75725840,37.18810871
2223:048799.600,2938712.989,2229643.419,5186003.383,54.75725840,37.18810873
2223:048799.800,2938712.989,2229643.418,5186003.382,54.75725840,37.18810874
2223:048800.000,2938712.990,2229643.418,5186003.380,54.75725840,37.18810873
2223:048800.200,2938712.990,2229643.418,5186003.382,54.75725838,37.18810873
2223:048800.400,2938712.990,2229643.417,5186003.384,54.75725839,37.18810871
2223:048800.600,2938712.991,2229643.418,5186003.386,54.75725841,37.18810870
2223:048800.800,2938712.992,2229643.418,5186003.387,54.75725841,37.18810871
2223:048801.000,2938712.993,2229643.419,5186003.389,54.75725841,37.18810870
2223:048801.200,2938712.992,2229643.419,5186003.387,54.75725841,37.18810870
2223:048801.400,2938712.991,2229643.418,5186003.387,54.75725840,37.18810871
2223:048801.600,2938712.991,2229643.418,5186003.386,54.75725841,37.18810872
2223:048801.800,2938712.991,2229643.419,5186003.388,54.75725841,37.18810872
2223:048802.000,2938712.992,2229643.419,5186003.388,54.75725841,37.18810872
2223:048802.200,2938712.991,2229643.418,5186003.388,54.75725841,37.18810871
2223:048802.400,2938712.989,2229643.416,5186003.386,54.75725842,37.18810872
