GPS time,X,Y,Z,Lat,Lon
2223:048445.200,2938716.523,2229636.078,5186004.970,54.75727850,37.18798469
2223:048445.400,2938716.523,2229636.077,5186004.969,54.75727852,37.18798473
2223:048445.600,2938716.522,2229636.078,5186004.971,54.75727852,37.18798471
2223:048445.800,2938716.523,2229636.075,5186004.967,54.75727853,37.18798473
2223:048446.000,2938716.522,2229636.076,5186004.969,54.75727852,37.18798470
2223:048446.200,2938716.522,2229636.077,5186004.968,54.75727853,37.18798471
2223:048446.400,2938716.523,2229636.075,5186004.965,54.75727852,37.18798472
2223:048446.600,2938716.523,2229636.072,5186004.963,54.75727852,37.18798469
2223:048446.800,2938716.524,2229636.073,5186004.963,54.75727851,37.18798466
2223:048447.000,2938716.524,2229636.073,5186004.963,54.75727851,37.18798466
2223:048447.200,2938716.525,2229636.073,5186004.962,54.75727850,37.18798465
2223:048447.400,2938716.524,2229636.074,5186004.963,54.75727849,37.18798465
2223:048447.600,2938716.525,2229636.075,5186004.962,54.75727850,37.18798467
2223:048447.800,2938716.523,2229636.075,5186004.962,54.75727848,37.18798467
2223:048448.000,2938716.523,2229636.075,5186004.961,54.75727849,37.18798468
2223:048448.200,2938716.523,2229636.072,5186004.960,54.75727849,37.18798469
2223:048448.400,2938716.522,2229636.073,5186004.963,54.75727850,37.18798466
2223:048448.600,2938716.523,2229636.073,5186004.967,54.75727852,37.18798467
2223:048448.800,2938716.524,2229636.076,5186004.970,54.75727853,37.18798468
2223:048449.000,2938716.523,2229636.075,5186004.970,54.75727853,37.18798469
2223:048449.200,2938716.526,2229636.075,5186004.969,54.75727854,37.18798469
2223:048449.400,2938716.526,2229636.075,5186004.969,54.75727851,37.18798467
2223:048449.600,2938716.527,2229636.075,5186004.968,54.75727852,37.18798467
2223:048449.800,2938716.526,2229636.074,5186004.969,54.75727850,37.18798465
2223:048450.000,2938716.527,2229636.072,5186004.966,54.75727852,37.18798465
2223:048450.200,2938716.526,2229636.072,5186004.968,54.75727851,37.18798461
2223:048450.400,2938716.525,2229636.072,5186004.968,54.75727852,37.18798462
2223:048450.600,2938716.525,2229636.072,5186004.967,54.75727853,37.18798463
2223:048450.800,2938716.524,2229636.070,5186004.967,54.75727853,37.18798463
2223:048451.000,2938716.524,2229636.073,5186004.967,54.75727854,37.18798463
2223:048451.200,2938716.523,2229636.072,5186004.966,54.75727852,37.18798465
2223:048451.400,2938716.524,2229636.074,5186004.965,54.75727852,37.18798466
2223:048451.600,2938716.524,2229636.075,5186004.966,54.75727851,37.18798467
2223:048451.800,2938716.524,2229636.077,5186004.966,54.75727851,37.18798468
2223:048452.000,2938716.523,2229636.078,5186004.967,54.75727850,37.18798470
2223:048452.200,2938716.523,2229636.076,5186004.963,54.75727851,37.18798473
2223:048452.400,2938716.523,2229636.075,5186004.961,54.75727850,37.18798471
2223:048452.600,2938716.524,2229636.075,5186004.960,54.75727849,37.18798469
2223:048452.800,2938716.525,2229636.075,5186004.959,54.75727848,37.18798469
2223:048453.000,2938716.526,2229636.076,5186004.962,54.75727847,37.18798468
2223:048453.200,2938716.527,2229636.076,5186004.964,54.75727847,37.18798468
2223:048453.400,2938716.527,2229636.076,5186004.966,54.75727848,37.18798467
2223:048453.600,2938716.527,2229636.076,5186004.967,54.75727849,37.18798466
2223:048453.800,2938716.527,2229636.077,5186004.970,54.75727850,37.18798466
2223:048454.000,2938716.527,2229636.075,5186004.967,54.75727850,37.18798468
2223:048454.200,2938716.527,2229636.076,5186004.967,54.75727849,37.18798465
2223:048454.400,2938716.527,2229636.077,5186004.968,54.75727849,37.18798467
2223:048454.600,2938716.526,2229636.074,5186004.967,54.75727849,37.18798467
2223:048454.800,2938716.525,2229636.074,5186004.963,54.75727851,37.18798465
2223:048455.000,2938716.524,2229636.073,5186004.964,54.75727850,37.18798466
2223:048455.200,2938716.525,2229636.074,5186004.963,54.75727850,37.18798465
2223:048455.400,2938716.527,2229636.076,5186004.966,54.75727850,37.18798466
2223:048455.600,2938716.526,2229636.074,5186004.963,54.75727849,37.18798466
2223:048455.800,2938716.526,2229636.076,5186004.967,54.75727849,37.18798465
2223:048456.000,2938716.525,2229636.075,5186004.968,54.75727850,37.18798467
2223:048456.200,2938716.527,2229636.078,5186004.977,54.75727852,37.18798468
2223:048456.400,2938716.529,2229636.079,5186004.983,54.75727854,37.18798470
2223:048456.600,2938716.528,2229636.080,5186004.980,54.75727855,37.18798469
2223:048456.800,2938716.525,2229636.077,5186004.977,54.75727853,37.18798470
