GPS time,X,Y,Z,Lat,Lon
2223:048617.000,2938716.000,2229641.599,5186002.919,54.75724646,37.18805795
2223:048617.200,2938716.003,2229641.600,5186002.919,54.75724646,37.18805795
2223:048617.400,2938716.003,2229641.598,5186002.919,54.75724644,37.18805794
2223:048617.600,2938716.003,2229641.597,5186002.918,54.75724645,37.18805792
2223:048617.800,2938716.003,2229641.596,5186002.917,54.75724645,37.18805790
2223:048618.000,2938716.004,2229641.596,5186002.917,54.75724645,37.18805788
2223:048618.200,2938716.006,2229641.598,5186002.916,54.75724645,37.18805787
2223:048618.400,2938716.004,2229641.597,5186002.914,54.75724642,37.18805788
2223:048618.600,2938716.005,2229641.598,5186002.913,54.75724642,37.18805789
2223:048618.800,2938716.006,2229641.598,5186002.914,54.75724641,37.18805789
2223:048619.000,2938716.006,2229641.599,5186002.913,54.75724641,37.18805789
2223:048619.200,2938716.007,2229641.599,5186002.914,54.75724640,37.18805789
2223:048619.400,2938716.008,2229641.600,5186002.913,54.75724640,37.18805789
2223:048619.600,2938716.009,2229641.601,5186002.911,54.75724638,37.18805789
2223:048619.800,2938716.009,2229641.600,5186002.912,54.75724636,37.18805790
2223:048620.000,2938716.010,2229641.600,5186002.912,54.75724637,37.18805788
2223:048620.200,2938716.010,2229641.600,5186002.909,54.75724636,37.18805787
2223:048620.400,2938716.008,2229641.600,5186002.907,54.75724635,37.18805788
2223:048620.600,2938716.008,2229641.600,5186002.906,54.75724635,37.18805789
2223:048620.800,2938716.007,2229641.599,5186002.904,54.75724634,37.18805789
2223:048621.000,2938716.007,2229641.599,5186002.904,54.75724634,37.18805789
2223:048621.200,2938716.009,2229641.603,5186002.906,54.75724634,37.18805789
2223:048621.400,2938716.007,2229641.602,5186002.906,54.75724633,37.18805791
2223:048621.600,2938716.005,2229641.601,5186002.907,54.75724634,37.18805792
2223:048621.800,2938716.004,2229641.601,5186002.906,54.75724636,37.18805794
2223:048622.000,2938716.004,2229641.600,5186002.904,54.75724637,37.18805794
2223:048622.200,2938716.002,2229641.600,5186002.903,54.75724636,37.18805793
2223:048622.400,2938716.002,2229641.601,5186002.903,54.75724637,37.18805794
2223:048622.600,2938716.002,2229641.600,5186002.903,54.75724636,37.18805795
2223:048622.800,2938716.002,2229641.601,5186002.902,54.75724637,37.18805795
2223:048623.000,2938716.002,2229641.602,5186002.902,54.75724636,37.18805795
